Child,Parent
524291,52429
524292,52429
524298,52429
525,52
5251,525
52511,5251
525110,52511
52512,5251
525120,52512
52519,5251
525190,52519
5259,525
52591,5259
525910,52591
52592,5259
525920,52592
52599,5259
525990,52599
53,1
531,53
5311,531
53111,5311
531110,53111
53112,5311
531120,53112
53113,5311
531130,53113
53119,5311
531190,53119
5312,531
53121,5312
531210,53121
5313,531
53131,5313
531311,53131
531312,53131
53132,5313
531320,53132
53139,5313
531390,53139
532,53
5321,532
53211,5321
532111,53211
532112,53211
53212,5321
532120,53212
5322,532
53221,5322
532210,53221
53222,5322
532220,53222
53223,5322
532230,53223
53229,5322
532291,53229
532292,53229
532299,53229
5323,532
53231,5323
532310,53231
5324,532
53241,5324
532411,53241
532412,53241
53242,5324
532420,53242
53249,5324
532490,53249
533,53
5331,533
53311,5331
533110,53311
54,1
541,54
5411,541
54111,5411
541110,54111
54112,5411
541120,54112
54119,5411
541191,54119
541199,54119
5412,541
54121,5412
541211,54121
541213,54121
541214,54121
541219,54121
5413,541
54131,5413
541310,54131
54132,5413
541320,54132
54133,5413
541330,54133
54134,5413
541340,54134
54135,5413
541350,54135
54136,5413
541360,54136
54137,5413
541370,54137
54138,5413
541380,54138
5414,541
54141,5414
541410,54141
54142,5414
541420,54142
54143,5414
541430,54143
54149,5414
541490,54149
5415,541
54151,5415
541511,54151
541512,54151
541513,54151
541519,54151
5416,541
54161,5416
541611,54161
541612,54161
541613,54161
541614,54161
541618,54161
54162,5416
541620,54162
54169,5416
541690,54169
5417,541
54171,5417
541711,54171
541712,54171
54172,5417
541720,54172
5418,541
54181,5418
541810,54181
54182,5418
541820,54182
54183,5418
541830,54183
54184,5418
541840,54184
54185,5418
541850,54185
54186,5418
541860,54186
54187,5418
541870,54187
54189,5418
541890,54189
5419,541
54191,5419
541910,54191
54192,5419
541921,54192
541922,54192
54193,5419
541930,54193
54194,5419
541940,54194
54199,5419
541990,54199
55,1
551,55
5511,551
55111,5511
551111,55111
551112,55111
551114,55111
56,1
561,56
5611,561
56111,5611
561110,56111
5612,561
56121,5612
561210,56121
5613,561
56131,5613
561311,56131
561312,56131
56132,5613
561320,56132
56133,5613
561330,56133
5614,561
56141,5614
561410,56141
56142,5614
561421,56142
561422,56142
56143,5614
561431,56143
561439,56143
56144,5614
561440,56144
56145,5614
561450,56145
56149,5614
561491,56149
561492,56149
561499,56149
5615,561
56151,5615
561510,56151
56152,5615
561520,56152
56159,5615
561591,56159
561599,56159
5616,561
56161,5616
561611,56161
561612,56161
561613,56161
56162,5616
561621,56162
561622,56162
5617,561
56171,5617
561710,56171
56172,5617
561720,56172
56173,5617
561730,56173
56174,5617
561740,56174
56179,5617
561790,56179
5619,561
56191,5619
561910,56191
56192,5619
561920,56192
56199,5619
561990,56199
562,56
5621,562
56211,5621
562111,56211
562112,56211
562119,56211
5622,562
56221,5622
562211,56221
562212,56221
562213,56221
562219,56221
5629,562
56291,5629
562910,56291
56292,5629
562920,56292
56299,5629
562991,56299
562998,56299
61,1
611,61
6111,611
61111,6111
611110,61111
6112,611
61121,6112
611210,61121
6113,611
61131,6113
611310,61131
6114,611
61141,6114
611410,61141
61142,6114
611420,61142
61143,6114
611430,61143
6115,611
61151,6115
611511,61151
611512,61151
611513,61151
611519,61151
6116,611
61161,6116
611610,61161
61162,6116
611620,61162
61163,6116
611630,61163
61169,6116
611691,61169
611692,61169
611699,61169
6117,611
61171,6117
611710,61171
62,1
621,62
6211,621
62111,6211
621111,62111
621112,62111
6212,621
62121,6212
621210,62121
6213,621
62131,6213
621310,62131
62132,6213
621320,62132
62133,6213
621330,62133
62134,6213
621340,62134
62139,6213
621391,62139
621399,62139
6214,621
62141,6214
621410,62141
62142,6214
621420,62142
62149,6214
621491,62149
621492,62149
621493,62149
621498,62149
6215,621
62151,6215
621511,62151
621512,62151
6216,621
62161,6216
621610,62161
6219,621
62191,6219
621910,62191
62199,6219
621991,62199
621999,62199
622,62
6221,622
62211,6221
622110,62211
6222,622
62221,6222
622210,62221
6223,622
62231,6223
622310,62231
623,62
6231,623
62311,6231
623110,62311
6232,623
62321,6232
623210,62321
62322,6232
623220,62322
6233,623
62331,6233
623311,62331
623312,62331
6239,623
62399,6239
623990,62399
624,62
6241,624
62411,6241
624110,62411
62412,6241
624120,62412
62419,6241
624190,62419
6242,624
62421,6242
624210,62421
62422,6242
624221,62422
624229,62422
62423,6242
624230,62423
6243,624
62431,6243
624310,62431
6244,624
62441,6244
624410,62441
71,1
711,71
7111,711
71111,7111
711110,71111
71112,7111
711120,71112
71113,7111
711130,71113
71119,7111
711190,71119
7112,711
71121,7112
711211,71121
711212,71121
711219,71121
7113,711
71131,7113
711310,71131
71132,7113
711320,71132
7114,711
71141,7114
711410,71141
7115,711
71151,7115
711510,71151
712,71
7121,712
71211,7121
712110,71211
71212,7121
712120,71212
71213,7121
712130,71213
71219,7121
712190,71219
713,71
7131,713
71311,7131
713110,71311
71312,7131
713120,71312
7132,713
71321,7132
713210,71321
71329,7132
713290,71329
7139,713
71391,7139
713910,71391
71392,7139
713920,71392
71393,7139
713930,71393
71394,7139
713940,71394
71395,7139
713950,71395
71399,7139
713990,71399
72,7
721,72
7211,721
72111,7211
721110,72111
72112,7211
721120,72112
72119,7211
721191,72119
721199,72119
7212,721
72121,7212
721211,72121
721214,72121
7213,721
72131,7213
721310,72131
722,72
7223,722
72231,7223
722310,72231
72232,7223
